Source,Target,Predicted_Attention,Predicted_Vanilla
sikhaaega,सिखाएगा,सिखाएगा,सिखाइगा
utaraadhikaaree,उतराधिकारी,उतराधिकारी,उताराधिकारी
sohrai,सोहराई,सोहराई,सोहराय
leedaron,लीडरों,लीडरों,लीदरों
galgand,गलगंड,गलगंड,गालगंड
bhutal,भूतल,भूतल,भूटल
likhkar,लिखकर,लिखकर,लिख्कर
tezpur,तेज़पुर,तेज़पुर,तेजपुर
capacitor,कैपेसिटर,कैपेसिटर,कैपिसिटर
canterbury,कैंटरबरी,कैंटरबरी,कैंटरबीरी
kaathiyavadi,काठियावड़ी,काठियावड़ी,काठियावाड़ी
fijoolkharchi,फिजूलखर्ची,फिजूलखर्ची,फिजोलखर्ची
flynn,फ्लिन,फ्लिन,फ्लानन
gumshudagi,गुमशुदगी,गुमशुदगी,गुमशुदागी
lahlahaati,लहलहाती,लहलहाती,लहलहहाटी
klein,क्लेन,क्लेन,क्लें
paimaish,पैमाइश,पैमाइश,पैमैश
cochin,कोचीन,कोचीन,कोचिन
pharase,फरसे,फरसे,फरासे
nubiya,नूबिया,नूबिया,नुबिया
taja,ताजा,ताजा,तजा
luis,लुइस,लुइस,ल्इस
sanyukt,संयुक्त,संयुक्त,सनयुक्त
raalod,रालोद,रालोद,रालोड़
sabhaen,सभाएं,सभाएं,सभाएँ
arymaa,अर्यमा,अर्यमा,आर्मा
bhulata,भूलता,भूलता,भुलता
karmaacharee,कर्माचारी,कर्माचारी,कर्माचरी
soodkhoron,सूदखोरों,सूदखोरों,सुद्खोरों
welwet,वेलवेट,वेलवेट,वेल्वेट
dabochne,दबोचने,दबोचने,दाबोनचे
naameegiraamee,नामीगिरामी,नामीगिरामी,नामिगरीमा
crane,क्रेन,क्रेन,क्राने
ulhasnagar,उल्हासनगर,उल्हासनगर,उल्हसनगर
prabhanmantri,प्रभानमंत्री,प्रभानमंत्री,प्रभनमंत्री
shiwalapurwa,शिवालापुरवा,शिवालापुरवा,शिवालुपरवा
saraikela,सरायकेला,सरायकेला,सराईकेला
raajsthanvasiyon,राजस्थानवासियों,राजस्थानवासियों,राजस्थान्यासियों
vyavasthapana,व्यवस्थापना,व्यवस्थापना,व्यवस्थाना
wlaad,व्लाद,व्लाद,व्लाड
hastaantaraneey,हस्तांतरणीय,हस्तांतरणीय,हस्तांतरीयी
sangoshtree,संगोष्ट्री,संगोष्ट्री,संगोष्त्री
chabutare,चबूतरे,चबूतरे,चबुतरे
rukte,रुकते,रुकते,रुक्ते
aamdani,आमदनी,आमदनी,आमदानी
chadhen,चढ़ें,चढ़ें,चढें
sachan,सचन,सचन,सचान
foda,फोड़ा,फोड़ा,फोडा
bharashtachaariyon,भरष्टाचारियों,भरष्टाचारियों,भराष्टाारियों
jeetanewalon,जीतनेवालों,जीतनेवालों,जीतानेवालों
avranta,अवर्णता,अवर्णता,अवरंता
ambaani,अंबानी,अंबानी,अम्बानी
ibija,इबीजा,इबीजा,इबिजा
jing,जिंग,जिंग,जिनग
dhavakon,धावकों,धावकों,ढावकों
laguna,लगुना,लगुना,लागुणा
mangla,मंगला,मंगला,मांगला
raidical,रैडिकल,रैडिकल,रेडिकल
rupa,रूपा,रूपा,रुपा
